Date,Name,Geology,Cover,x,y,z,Gain,Ovmx,Rec. time,Req. Freq.,Start time,End time,Filename,f0_min,f0_win,f0_average,f0_ip,f0_ip_diff,error,f0_max,A0,nw,A_max,max_freq,max_Azi,A_min,min_freq,min_Azi
26/06/2017,A201,Shh,Shh,4.383283,50.770229,124.0,128,5,00:40,100,09:33,10:13,170626_0933.201,0.812656,0.860526,0.861372,0.8613035124341623,0.0007775124341622,0.0478699999999999,0.911216,8.58658,45.0,9.94885,0.833221,30,9.28274,0.865017,90
26/06/2017,A202,Ma,Ma,4.384596,50.774603,119.23,512,5,00:20,100,10:45,11:05,170626_1045.202,0.787528,0.828221,0.843295,0.8268551236749118,-0.0013658763250882,0.0406929999999999,0.868915,10.7672,35.0,11.3832,0.816373,10,9.58308,0.847526,100
