Date,Name,x,y,z,Gain,Ovmx,Rec. time,Req. Freq.,Start time,End time,Filename
26/06/2017,A201,4.383283,50.770229,124,128,5,00:40,100,09:33,10:13,170626_0933.201
26/06/2017,A202,4.384596,50.774603,119.23,512,5,00:20,100,10:45,11:05,170626_1045.202
